	...1	...2	0	...4	...5	546 Bottles	Location	Producer	Nomen	Varrietal(s)	Vintage	Type	Notes
1	1	NA	1	1	1	2	1	212	1	1	1	1	1
2	NA	NA	2	1	2	2	2	1	248	1	1	1	1
3	NA	NA	3	1	3	2	3	1	1	127	1	1	1
4	NA	NA	4	1	4	2	4	38	NA	NA	15	4	28
5	NA	NA	5	1	5	2	5	111	220	115	22	11	207
6	NA	NA	6	1	6	2	6	111	231	98	21	11	162
7	NA	NA	7	1	7	2	7	111	154	91	22	11	170
8	NA	NA	8	1	8	2	8	38	NA	NA	15	4	28
9	NA	NA	9	1	9	2	9	111	44	67	23	11	162
10	NA	NA	10	1	10	2	10	111	44	67	23	11	162
11	NA	NA	11	1	11	2	11	111	176	99	2	11	162
12	NA	NA	12	1	12	2	12	85	NA	NA	22	4	118
13	NA	NA	13	1	12	3	13	NA	NA	NA	22	NA	162
14	NA	NA	14	1	13	2	14	85	NA	NA	22	4	118
15	NA	NA	15	1	13	3	15	NA	NA	NA	22	NA	162
16	NA	NA	16	1	14	2	16	123	111	NA	17	11	122
17	NA	NA	17	1	14	3	17	NA	NA	NA	22	NA	162
18	NA	NA	18	1	15	2	18	NA	NA	NA	22	NA	162
19	NA	NA	19	1	15	3	19	NA	NA	NA	22	NA	162
20	NA	NA	20	1	16	2	20	NA	NA	NA	22	NA	162
21	NA	NA	21	1	16	3	21	NA	NA	NA	22	NA	162
22	NA	NA	22	1	17	2	22	NA	NA	NA	22	NA	162
23	NA	NA	23	1	17	3	23	NA	NA	NA	22	NA	162
24	NA	NA	24	1	18	2	24	NA	NA	NA	22	NA	162
25	NA	NA	25	1	18	3	25	NA	NA	NA	22	NA	162
26	NA	NA	26	1	19	2	26	194	203	59	17	4	162
27	NA	NA	27	1	19	3	27	NA	NA	NA	22	NA	162
28	NA	NA	28	1	20	2	28	194	203	59	17	4	162
29	NA	NA	29	1	20	3	29	NA	NA	NA	22	NA	162
30	NA	NA	30	2	1	2	320	113	203	100	18	4	57
31	NA	NA	31	2	2	2	321	113	203	100	18	4	57
32	NA	NA	32	2	3	2	322	113	203	100	18	4	57
33	NA	NA	33	2	4	2	323	148	97	76	12	11	222
34	NA	NA	34	2	5	2	324	113	203	100	18	4	57
35	NA	NA	35	2	6	2	325	113	203	100	18	4	57
36	NA	NA	36	2	7	2	326	80	93	75	15	11	162
37	NA	NA	37	2	8	2	327	81	138	NA	15	4	28
38	NA	NA	38	2	9	2	328	86	203	100	15	4	201
39	NA	NA	39	2	10	2	329	81	138	NA	15	4	28
40	NA	NA	40	2	11	2	330	NA	NA	NA	22	NA	162
41	NA	NA	41	2	12	2	331	108	59	NA	17	4	64
42	NA	NA	42	2	12	3	332	NA	NA	NA	22	NA	162
43	NA	NA	43	2	13	2	333	113	203	100	19	4	162
44	NA	NA	44	2	13	3	334	NA	NA	NA	22	NA	162
45	NA	NA	45	2	14	2	335	225	203	NA	17	4	99
46	NA	NA	46	2	14	3	336	NA	NA	NA	22	NA	162
47	NA	NA	47	2	15	2	337	54	203	NA	17	4	52
48	NA	NA	48	2	15	3	338	NA	NA	NA	22	NA	162
49	NA	NA	49	2	16	2	339	134	203	NA	19	4	3
50	NA	NA	50	2	16	3	340	NA	NA	NA	22	NA	162
51	NA	NA	51	2	17	2	341	134	220	115	19	11	162
52	NA	NA	52	2	17	3	342	NA	NA	NA	22	NA	162
53	NA	NA	53	2	18	2	343	NA	NA	NA	22	NA	162
54	NA	NA	54	2	18	3	344	NA	NA	NA	22	NA	162
55	NA	NA	55	2	19	2	345	NA	NA	NA	22	NA	162
56	NA	NA	56	2	19	3	346	NA	NA	NA	22	NA	162
57	NA	NA	57	2	20	2	347	NA	NA	NA	22	NA	162
58	NA	NA	58	2	20	3	348	NA	NA	NA	22	NA	162
59	NA	NA	59	3	1	2	637	173	266	103	23	11	198
60	NA	NA	60	3	2	2	638	113	250	67	14	11	162
61	NA	NA	61	3	3	2	639	113	206	67	15	11	171
62	NA	NA	62	3	4	2	640	96	NA	52	12	11	222
63	NA	NA	63	3	5	2	641	111	45	67	21	11	162
64	NA	NA	64	3	6	2	642	111	45	67	21	11	162
65	NA	NA	65	3	7	2	643	NA	NA	NA	22	NA	162
66	NA	NA	66	3	8	2	644	140	48	58	14	11	195
67	NA	NA	67	3	9	2	645	6	179	115	12	11	196
68	NA	NA	68	3	10	2	646	62	233	108	18	7	162
69	NA	NA	69	3	11	2	647	NA	NA	NA	22	NA	162
70	NA	NA	70	3	12	2	648	42	48	67	17	11	121
71	NA	NA	71	3	12	3	649	NA	NA	NA	22	NA	162
72	NA	NA	72	3	13	2	650	NA	NA	NA	22	NA	162
73	NA	NA	73	3	13	3	651	NA	NA	NA	22	NA	162
74	NA	NA	74	3	14	2	652	NA	NA	NA	22	NA	162
75	NA	NA	75	3	14	3	653	NA	NA	NA	22	NA	162
76	NA	NA	76	3	15	2	654	NA	NA	NA	22	NA	162
77	NA	NA	77	3	15	3	655	NA	NA	NA	22	NA	162
78	NA	NA	78	3	16	2	656	NA	NA	NA	22	NA	162
79	NA	NA	79	3	16	3	657	NA	NA	NA	22	NA	162
80	NA	NA	80	3	17	2	658	133	127	99	19	4	162
81	NA	NA	81	3	17	3	659	NA	NA	NA	22	NA	162
82	NA	NA	82	3	18	2	660	133	127	99	19	4	162
83	NA	NA	83	3	18	3	661	NA	NA	NA	22	NA	162
84	NA	NA	84	3	19	2	662	133	127	99	19	4	162
85	NA	NA	85	3	19	3	663	NA	NA	NA	22	NA	162
86	NA	NA	86	3	20	2	664	133	127	99	19	4	162
87	NA	NA	87	3	20	3	665	NA	NA	NA	22	NA	162
88	NA	NA	88	4	1	2	956	158	42	NA	13	11	146
89	NA	NA	89	4	2	2	957	NA	NA	NA	22	NA	162
90	NA	NA	90	4	3	2	958	120	269	131	15	11	26
91	NA	NA	91	4	4	2	959	NA	NA	NA	22	NA	162
92	NA	NA	92	4	5	2	960	75	95	NA	23	11	221
93	NA	NA	93	4	6	2	961	NA	NA	NA	22	NA	162
94	NA	NA	94	4	7	2	962	NA	NA	NA	22	NA	162
95	NA	NA	95	4	8	2	963	NA	NA	NA	22	NA	162
96	NA	NA	96	4	9	2	964	NA	NA	NA	22	NA	162
97	NA	NA	97	4	10	2	965	198	84	132	15	11	108
98	NA	NA	98	4	11	2	966	NA	NA	NA	22	NA	162
99	NA	NA	99	4	12	2	967	NA	NA	NA	22	NA	162
100	NA	NA	100	4	12	3	968	NA	NA	NA	22	NA	162
101	NA	NA	101	4	13	2	969	NA	NA	NA	22	NA	162
102	NA	NA	102	4	13	3	970	NA	NA	NA	22	NA	162
103	NA	NA	103	4	14	2	971	199	31	69	12	11	224
104	NA	NA	104	4	14	3	972	NA	NA	NA	22	NA	162
105	NA	NA	105	4	15	2	973	133	127	99	19	4	162
106	NA	NA	106	4	15	3	974	NA	NA	NA	22	NA	162
107	NA	NA	107	4	16	2	975	133	127	99	19	4	162
108	NA	NA	108	4	16	3	976	NA	NA	NA	22	NA	162
109	NA	NA	109	4	17	2	977	133	127	99	19	4	162
110	NA	NA	110	4	17	3	978	NA	NA	NA	22	NA	162
111	NA	NA	111	4	18	2	979	133	127	99	19	4	162
112	NA	NA	112	4	18	3	980	NA	NA	NA	22	NA	162
113	NA	NA	113	4	19	2	981	133	127	99	19	4	162
114	NA	NA	114	4	19	3	982	NA	NA	NA	22	NA	162
115	NA	NA	115	4	20	2	983	NA	NA	NA	22	NA	162
116	NA	NA	116	4	20	3	984	NA	NA	NA	22	NA	162
117	NA	NA	117	5	1	2	1274	153	205	111	17	11	172
118	NA	NA	118	5	2	2	1275	153	220	115	18	11	172
119	NA	NA	119	5	3	2	1276	153	271	131	17	11	172
120	NA	NA	120	5	4	2	1277	NA	NA	NA	22	NA	162
121	NA	NA	121	5	5	2	1278	172	221	115	13	10	212
122	NA	NA	122	5	6	2	1279	172	221	115	13	10	212
123	NA	NA	123	5	7	2	1280	118	222	NA	12	10	223
124	NA	NA	124	5	8	2	1281	147	20	130	19	10	97
125	NA	NA	125	5	9	2	1282	147	20	130	18	10	98
126	NA	NA	126	5	10	2	1283	147	20	130	18	10	98
127	NA	NA	127	5	11	2	1284	NA	NA	NA	22	NA	162
128	NA	NA	128	5	12	2	1285	NA	NA	NA	22	NA	162
129	NA	NA	129	5	12	3	1286	NA	NA	NA	22	NA	162
130	NA	NA	130	5	13	2	1287	NA	NA	NA	22	NA	162
131	NA	NA	131	5	13	3	1288	NA	NA	NA	22	NA	162
132	NA	NA	132	5	14	2	1289	NA	NA	NA	22	NA	162
133	NA	NA	133	5	14	3	1290	NA	NA	NA	22	NA	162
134	NA	NA	134	5	15	2	1291	NA	NA	NA	22	NA	162
135	NA	NA	135	5	15	3	1292	NA	NA	NA	22	NA	162
136	NA	NA	136	5	16	2	1293	NA	NA	NA	22	NA	162
137	NA	NA	137	5	16	3	1294	NA	NA	NA	22	NA	162
138	NA	NA	138	5	17	2	1295	137	63	NA	12	11	19
139	NA	NA	139	5	17	3	1296	NA	NA	NA	22	NA	162
140	NA	NA	140	5	18	2	1297	137	63	NA	12	11	19
141	NA	NA	141	5	18	3	1298	NA	NA	NA	22	NA	162
142	NA	NA	142	5	19	2	1299	NA	NA	NA	22	NA	162
143	NA	NA	143	5	19	3	1300	NA	NA	NA	22	NA	162
144	NA	NA	144	5	20	2	1301	NA	NA	NA	22	NA	162
145	NA	NA	145	5	20	3	1302	NA	NA	NA	22	NA	162
146	NA	NA	146	6	1	2	1593	NA	NA	NA	22	NA	162
147	NA	NA	147	6	2	2	1594	83	NA	67	12	11	217
148	NA	NA	148	6	3	2	1595	NA	NA	NA	22	NA	162
149	NA	NA	149	6	4	2	1596	NA	NA	NA	22	NA	162
150	NA	NA	150	6	5	2	1597	209	51	NA	13	11	217
151	NA	NA	151	6	6	2	1598	209	51	NA	13	11	217
152	NA	NA	152	15	15	2	192	NA	NA	NA	22	NA	162
153	NA	NA	152	6	7	2	1599	NA	NA	NA	22	NA	162
154	NA	NA	153	6	8	2	1600	NA	NA	NA	22	NA	162
155	NA	NA	154	6	9	2	1601	67	174	98	13	11	217
156	NA	NA	155	6	10	2	1602	NA	NA	NA	22	NA	162
157	NA	NA	156	6	11	2	1603	NA	NA	NA	22	NA	162
158	NA	NA	157	6	12	2	1604	67	174	98	13	11	217
159	NA	NA	158	6	12	3	1605	NA	NA	NA	22	NA	162
160	NA	NA	159	6	13	2	1606	NA	NA	NA	22	NA	162
161	NA	NA	160	6	13	3	1607	NA	NA	NA	22	NA	162
162	NA	NA	161	6	14	2	1608	76	119	84	13	12	110
163	NA	NA	162	6	14	3	1609	NA	NA	NA	22	NA	162
164	NA	NA	163	6	15	2	1610	NA	NA	NA	22	NA	162
165	NA	NA	164	6	15	3	1611	NA	NA	NA	22	NA	162
166	NA	NA	165	6	16	2	1612	NA	NA	NA	22	NA	162
167	NA	NA	166	6	16	3	1613	NA	NA	NA	22	NA	162
168	NA	NA	167	6	17	2	1614	NA	NA	NA	22	NA	162
169	NA	NA	168	6	17	3	1615	NA	NA	NA	22	NA	162
170	NA	NA	169	6	18	2	1616	NA	NA	NA	22	NA	162
171	NA	NA	170	6	18	3	1617	NA	NA	NA	22	NA	162
172	NA	NA	171	6	19	2	1618	NA	NA	NA	22	NA	162
173	NA	NA	172	6	19	3	1619	NA	NA	NA	22	NA	162
174	NA	NA	173	6	20	2	1620	21	175	NA	12	11	218
175	NA	NA	174	6	20	3	1621	NA	NA	NA	22	NA	162
176	NA	NA	175	7	1	2	1874	NA	NA	NA	22	NA	162
177	NA	NA	176	7	2	2	1875	207	222	NA	13	11	217
178	NA	NA	177	7	3	2	1876	14	48	67	12	11	217
179	NA	NA	178	7	4	2	1877	NA	NA	NA	22	NA	162
180	NA	NA	179	7	5	2	1878	227	256	NA	13	11	217
181	NA	NA	180	7	6	2	1879	2	272	70	13	10	213
182	NA	NA	181	7	7	2	1880	NA	NA	NA	22	NA	162
183	NA	NA	182	7	8	2	1881	NA	NA	NA	22	NA	162
184	NA	NA	183	7	9	2	1882	35	223	NA	13	11	217
185	NA	NA	184	7	10	2	1883	NA	NA	NA	22	NA	162
186	NA	NA	185	7	11	2	1884	NA	NA	NA	22	NA	162
187	NA	NA	186	7	12	2	1885	NA	NA	NA	22	NA	162
188	NA	NA	187	7	12	3	1886	NA	NA	NA	22	NA	162
189	NA	NA	188	7	13	2	1887	NA	NA	NA	22	NA	162
190	NA	NA	189	7	13	3	1888	NA	NA	NA	22	NA	162
191	NA	NA	190	7	14	2	1889	NA	NA	NA	22	NA	162
192	NA	NA	191	7	14	3	1890	NA	NA	NA	22	NA	162
193	NA	NA	192	7	15	2	1891	NA	NA	NA	22	NA	162
194	NA	NA	193	7	15	3	1892	NA	NA	NA	22	NA	162
195	NA	NA	194	7	16	2	1893	NA	NA	NA	22	NA	162
196	NA	NA	195	7	16	3	1894	NA	NA	NA	22	NA	162
197	NA	NA	196	7	17	2	1895	110	203	NA	18	4	58
198	NA	NA	197	7	17	3	1896	NA	NA	NA	22	NA	162
199	NA	NA	198	7	18	2	1897	110	203	NA	18	4	58
200	NA	NA	199	7	18	3	1898	NA	NA	NA	22	NA	162
201	NA	NA	200	7	19	2	1899	110	203	NA	18	4	58
202	NA	NA	201	7	19	3	1900	NA	NA	NA	22	NA	162
203	NA	NA	202	7	20	2	1901	110	203	NA	18	4	58
204	NA	NA	203	7	20	3	1902	NA	NA	NA	22	NA	162
205	NA	NA	204	8	1	2	1903	30	NA	NA	22	NA	162
206	NA	NA	205	8	2	2	1904	30	49	67	12	13	217
207	NA	NA	206	8	3	2	1905	NA	NA	NA	22	NA	162
208	NA	NA	207	8	4	2	1906	NA	NA	NA	22	NA	162
209	NA	NA	208	8	5	2	1907	NA	NA	NA	22	NA	162
210	NA	NA	209	8	6	2	1908	97	136	67	12	11	219
211	NA	NA	210	8	7	2	1909	NA	NA	NA	22	NA	162
212	NA	NA	211	8	8	2	1910	NA	NA	NA	22	NA	162
213	NA	NA	212	8	9	2	1911	NA	NA	NA	22	NA	162
214	NA	NA	213	8	10	2	1912	142	48	67	12	11	162
215	NA	NA	214	8	11	2	1913	NA	NA	NA	22	NA	162
216	NA	NA	215	8	12	2	1914	NA	NA	NA	22	NA	162
217	NA	NA	216	8	12	3	1915	102	247	67	12	11	220
218	NA	NA	217	8	13	2	1916	NA	NA	NA	22	NA	162
219	NA	NA	218	8	13	3	1917	NA	NA	NA	22	NA	162
220	NA	NA	219	8	14	2	1918	NA	NA	NA	22	NA	162
221	NA	NA	220	8	14	3	1919	NA	NA	NA	22	NA	162
222	NA	NA	221	8	15	2	1920	NA	NA	NA	22	NA	162
223	NA	NA	222	8	15	3	1921	NA	NA	NA	22	NA	162
224	NA	NA	223	8	16	2	1922	149	203	72	18	4	162
225	NA	NA	224	8	16	3	1923	NA	NA	NA	22	NA	162
226	NA	NA	225	8	17	2	1924	149	203	72	18	4	162
227	NA	NA	226	8	17	3	1925	NA	NA	NA	22	NA	162
228	NA	NA	227	8	18	2	1926	149	203	72	18	4	162
229	NA	NA	228	8	18	3	1927	NA	NA	NA	22	NA	162
230	NA	NA	229	8	19	2	1928	149	203	72	18	4	162
231	NA	NA	230	8	19	3	1929	NA	NA	NA	22	NA	162
232	NA	NA	231	8	20	2	1930	149	203	72	18	4	162
233	NA	NA	232	8	20	3	1931	NA	NA	NA	22	NA	162
234	NA	NA	233	9	1	2	1932	NA	NA	NA	22	NA	162
235	NA	NA	234	9	2	2	1933	NA	NA	NA	22	NA	162
236	NA	NA	235	9	3	2	1934	NA	NA	NA	22	NA	162
237	NA	NA	236	9	4	2	1935	NA	NA	NA	22	NA	162
238	NA	NA	237	9	5	2	1936	113	250	67	17	11	96
239	NA	NA	238	9	6	2	1937	113	250	67	17	11	162
240	NA	NA	239	9	7	2	1938	91	101	78	12	11	137
241	NA	NA	240	9	8	2	1939	63	187	110	13	11	109
242	NA	NA	241	9	9	2	1940	NA	NA	NA	22	NA	162
243	NA	NA	242	9	10	2	1941	NA	NA	NA	22	NA	162
244	NA	NA	243	9	11	2	1942	NA	NA	NA	22	NA	162
245	NA	NA	244	9	12	2	1943	NA	NA	NA	22	NA	162
246	NA	NA	245	9	12	3	1944	NA	NA	NA	22	NA	162
247	NA	NA	246	9	13	2	1945	NA	NA	NA	22	NA	162
248	NA	NA	247	9	13	3	1946	NA	NA	NA	22	NA	162
249	NA	NA	248	9	14	2	1947	NA	NA	NA	22	NA	162
250	NA	NA	249	9	14	3	1948	NA	NA	NA	22	NA	162
251	NA	NA	250	9	15	2	1949	NA	NA	NA	22	NA	162
252	NA	NA	251	9	15	3	1950	NA	NA	NA	22	NA	162
253	NA	NA	252	9	16	2	1951	NA	NA	NA	22	NA	162
254	NA	NA	253	9	16	3	1952	NA	NA	NA	22	NA	162
255	NA	NA	254	9	17	2	1953	214	260	129	19	11	162
256	NA	NA	255	9	17	3	1954	NA	NA	NA	22	NA	162
257	NA	NA	256	9	18	2	1955	NA	NA	NA	22	NA	162
258	NA	NA	257	9	18	3	1956	NA	NA	NA	22	NA	162
259	NA	NA	258	9	19	2	1957	NA	NA	NA	22	NA	162
260	NA	NA	259	9	19	3	1958	NA	NA	NA	22	NA	162
261	NA	NA	260	9	20	2	1959	NA	NA	NA	22	NA	162
262	NA	NA	261	9	20	3	1960	NA	NA	NA	22	NA	162
263	NA	NA	262	10	1	2	30	NA	NA	NA	22	NA	162
264	NA	NA	263	10	2	2	31	NA	NA	NA	22	NA	162
265	NA	NA	264	10	3	2	32	52	274	67	13	10	211
266	NA	NA	265	10	4	2	33	52	274	67	13	10	211
267	NA	NA	266	10	5	2	34	194	276	108	15	11	9
268	NA	NA	267	10	6	2	35	NA	NA	NA	22	NA	162
269	NA	NA	268	10	7	2	36	94	48	67	13	10	209
270	NA	NA	269	10	8	2	37	94	48	67	13	10	209
271	NA	NA	270	10	9	2	38	64	100	78	17	11	190
272	NA	NA	271	10	10	2	39	64	100	81	17	11	10
273	NA	NA	272	10	11	2	40	NA	NA	NA	22	NA	162
274	NA	NA	273	10	12	2	41	NA	NA	NA	22	NA	162
275	NA	NA	274	10	12	3	42	NA	NA	NA	22	NA	162
276	NA	NA	275	10	13	2	43	71	195	110	14	11	194
277	NA	NA	276	10	13	3	44	NA	NA	NA	22	NA	162
278	NA	NA	277	10	14	2	45	214	261	129	18	11	34
279	NA	NA	278	10	14	3	46	NA	NA	NA	22	NA	162
280	NA	NA	279	10	15	2	47	NA	NA	NA	22	NA	162
281	NA	NA	280	10	15	3	48	NA	NA	NA	22	NA	162
282	NA	NA	281	10	16	2	49	NA	NA	NA	22	NA	162
283	NA	NA	282	10	16	3	50	NA	NA	NA	22	NA	162
284	NA	NA	283	10	17	2	51	202	143	81	14	11	180
285	NA	NA	284	10	17	3	52	NA	NA	NA	22	NA	162
286	NA	NA	285	10	18	2	53	NA	NA	NA	22	NA	162
287	NA	NA	286	10	18	3	54	NA	NA	NA	22	NA	162
288	NA	NA	287	10	19	2	55	NA	NA	NA	22	NA	162
289	NA	NA	288	10	19	3	56	NA	NA	NA	22	NA	162
290	NA	NA	289	10	20	2	57	NA	NA	NA	22	NA	162
291	NA	NA	290	10	20	3	58	NA	NA	NA	22	NA	162
292	NA	NA	291	11	1	2	59	184	144	88	15	3	82
293	NA	NA	292	11	2	2	60	203	2	48	13	3	78
294	NA	NA	293	11	3	2	61	138	135	83	18	3	81
295	NA	NA	294	11	4	2	62	10	61	61	13	3	181
296	NA	NA	295	11	5	2	63	59	216	100	18	3	77
297	NA	NA	296	11	6	2	64	224	100	78	17	11	153
298	NA	NA	297	11	7	2	65	37	113	73	17	3	79
299	NA	NA	298	11	8	2	66	208	36	60	15	3	162
300	NA	NA	299	11	9	2	67	72	132	82	13	11	182
301	NA	NA	300	11	10	2	68	222	163	106	17	3	192
302	NA	NA	301	11	11	2	69	NA	NA	NA	22	NA	162
303	NA	NA	302	11	12	2	70	216	70	119	13	11	101
304	NA	NA	303	11	12	3	71	NA	NA	NA	22	NA	162
305	NA	NA	304	11	13	2	72	NA	NA	NA	22	NA	162
306	NA	NA	305	11	13	3	73	NA	NA	NA	22	NA	162
307	NA	NA	306	11	14	2	74	55	96	122	14	3	100
308	NA	NA	307	11	14	3	75	NA	NA	NA	22	NA	162
309	NA	NA	308	11	15	2	76	NA	NA	NA	22	NA	162
310	NA	NA	309	11	15	3	77	NA	NA	NA	22	NA	162
311	NA	NA	310	11	16	2	78	214	260	129	19	11	162
312	NA	NA	311	11	16	3	79	NA	NA	NA	22	NA	162
313	NA	NA	312	11	17	2	80	214	260	129	19	11	162
314	NA	NA	313	11	17	3	81	NA	NA	NA	22	NA	162
315	NA	NA	314	11	18	2	82	214	260	129	19	11	162
316	NA	NA	315	11	18	3	83	NA	NA	NA	22	NA	162
317	NA	NA	316	11	19	2	84	214	260	129	19	11	162
318	NA	NA	317	11	19	3	85	NA	NA	NA	22	NA	162
319	NA	NA	318	11	20	2	86	214	260	129	19	11	162
320	NA	NA	319	11	20	3	87	NA	NA	NA	22	NA	162
321	NA	NA	320	12	1	2	88	NA	NA	NA	22	NA	162
322	NA	NA	321	12	2	2	89	NA	NA	NA	22	NA	162
323	NA	NA	322	12	3	2	90	NA	NA	NA	22	NA	162
324	NA	NA	323	12	4	2	91	NA	NA	NA	22	NA	162
325	NA	NA	324	12	5	2	92	NA	NA	NA	22	NA	162
326	NA	NA	325	12	6	2	93	224	189	108	17	11	8
327	NA	NA	326	12	7	2	94	NA	NA	NA	22	NA	162
328	NA	NA	327	12	8	2	95	NA	NA	NA	22	NA	162
329	NA	NA	328	12	9	2	96	143	58	71	18	3	46
330	NA	NA	329	12	10	2	97	174	255	105	13	3	134
331	NA	NA	330	12	11	2	98	NA	NA	NA	22	NA	162
332	NA	NA	331	12	12	2	99	NA	NA	NA	22	NA	162
333	NA	NA	332	12	12	3	100	NA	NA	NA	22	NA	162
334	NA	NA	333	12	13	2	101	NA	NA	NA	22	NA	162
335	NA	NA	334	12	13	3	102	NA	NA	NA	22	NA	162
336	NA	NA	335	12	14	2	103	NA	NA	NA	22	NA	162
337	NA	NA	336	12	14	3	104	NA	NA	NA	22	NA	162
338	NA	NA	337	12	15	2	105	NA	NA	NA	22	NA	162
339	NA	NA	338	12	15	3	106	NA	NA	NA	22	NA	162
340	NA	NA	339	12	16	2	107	NA	NA	NA	22	NA	162
341	NA	NA	340	12	16	3	108	NA	NA	NA	22	NA	162
342	NA	NA	341	12	17	2	109	66	57	110	13	11	132
343	NA	NA	342	12	17	3	110	NA	NA	NA	22	NA	162
344	NA	NA	343	12	18	2	111	NA	NA	NA	22	NA	162
345	NA	NA	344	12	18	3	112	NA	NA	NA	22	NA	162
346	NA	NA	345	12	19	2	113	NA	NA	NA	22	NA	162
347	NA	NA	346	12	19	3	114	NA	NA	NA	22	NA	162
348	NA	NA	347	12	20	2	115	NA	NA	NA	22	NA	162
349	NA	NA	348	12	20	3	116	NA	NA	NA	22	NA	162
350	NA	NA	349	13	1	2	117	106	28	NA	23	7	187
351	NA	NA	350	13	2	2	118	106	28	NA	23	7	187
352	NA	NA	351	13	3	2	119	106	29	NA	23	9	187
353	NA	NA	352	13	4	2	120	106	29	NA	23	9	187
354	NA	NA	353	13	5	2	121	106	29	NA	23	9	187
355	NA	NA	354	13	6	2	122	106	28	NA	23	7	187
356	NA	NA	355	13	7	2	123	106	28	NA	23	7	187
357	NA	NA	356	13	8	2	124	106	28	NA	23	7	187
358	NA	NA	357	13	9	2	125	106	28	NA	23	7	187
359	NA	NA	358	13	10	2	126	195	226	108	17	11	154
360	NA	NA	359	13	11	2	127	NA	NA	NA	22	NA	162
361	NA	NA	360	13	12	2	128	NA	NA	NA	22	NA	162
362	NA	NA	361	13	12	3	129	NA	NA	NA	22	NA	162
363	NA	NA	362	13	13	2	130	NA	NA	NA	22	NA	162
364	NA	NA	363	13	13	3	131	NA	NA	NA	22	NA	162
365	NA	NA	364	13	14	2	132	NA	NA	NA	22	NA	162
366	NA	NA	365	13	14	3	133	NA	NA	NA	22	NA	162
367	NA	NA	366	13	15	2	134	NA	NA	NA	22	NA	162
368	NA	NA	367	13	15	3	135	NA	NA	NA	22	NA	162
369	NA	NA	368	13	16	2	136	NA	NA	NA	22	NA	162
370	NA	NA	369	13	16	3	137	NA	NA	NA	22	NA	162
371	NA	NA	370	13	17	2	138	NA	NA	NA	22	NA	162
372	NA	NA	371	13	17	3	139	NA	NA	NA	22	NA	162
373	NA	NA	372	13	18	2	140	NA	NA	NA	22	NA	162
374	NA	NA	373	13	18	3	141	NA	NA	NA	22	NA	162
375	NA	NA	374	13	19	2	142	NA	NA	NA	22	NA	162
376	NA	NA	375	13	19	3	143	NA	NA	NA	22	NA	162
377	NA	NA	376	13	20	2	144	NA	NA	NA	22	NA	162
378	NA	NA	377	13	20	3	145	NA	NA	NA	22	NA	162
379	NA	NA	378	14	1	2	146	98	190	108	17	11	18
380	NA	NA	379	14	2	2	147	98	190	108	17	11	18
381	NA	NA	380	14	3	2	148	98	112	108	15	11	38
382	NA	NA	381	14	4	2	149	NA	NA	NA	22	NA	162
383	NA	NA	382	14	5	2	150	NA	NA	NA	22	NA	162
384	NA	NA	383	14	6	2	151	NA	NA	NA	22	NA	162
385	NA	NA	384	14	7	2	152	NA	NA	NA	22	NA	162
386	NA	NA	385	14	8	2	153	NA	NA	NA	22	NA	162
387	NA	NA	386	14	9	2	154	NA	NA	NA	22	NA	162
388	NA	NA	387	14	10	2	155	NA	NA	NA	22	NA	162
389	NA	NA	388	14	11	2	156	NA	NA	NA	22	NA	162
390	NA	NA	389	14	12	2	157	NA	NA	NA	22	NA	162
391	NA	NA	390	14	12	3	158	NA	NA	NA	22	NA	162
392	NA	NA	391	14	13	2	159	NA	NA	NA	22	NA	162
393	NA	NA	392	14	13	3	160	NA	NA	NA	22	NA	162
394	NA	NA	393	14	14	2	161	NA	NA	NA	22	NA	162
395	NA	NA	394	14	14	3	162	NA	NA	NA	22	NA	162
396	NA	NA	395	14	15	2	163	NA	NA	NA	22	NA	162
397	NA	NA	396	14	15	3	164	NA	NA	NA	22	NA	162
398	NA	NA	397	14	16	2	165	NA	NA	NA	22	NA	162
399	NA	NA	398	14	16	3	166	NA	NA	NA	22	NA	162
400	NA	NA	399	14	17	2	167	NA	NA	NA	22	NA	162
401	NA	NA	400	14	17	3	168	NA	NA	NA	22	NA	162
402	NA	NA	401	14	18	2	169	NA	NA	NA	22	NA	162
403	NA	NA	402	14	18	3	170	NA	NA	NA	22	NA	162
404	NA	NA	403	14	19	2	171	NA	NA	NA	22	NA	162
405	NA	NA	404	14	19	3	172	NA	NA	NA	22	NA	162
406	NA	NA	405	14	20	2	173	NA	NA	NA	22	NA	162
407	NA	NA	406	14	20	3	174	NA	NA	NA	22	NA	162
408	NA	NA	407	15	1	2	175	NA	NA	NA	22	NA	162
409	NA	NA	408	15	2	2	176	NA	NA	NA	22	NA	162
410	NA	NA	409	15	3	2	177	NA	NA	NA	22	NA	162
411	NA	NA	410	15	4	2	178	NA	NA	NA	22	NA	162
412	NA	NA	411	15	5	2	179	NA	NA	NA	22	NA	162
413	NA	NA	412	15	6	2	180	NA	NA	NA	22	NA	162
414	NA	NA	413	15	7	2	181	NA	NA	NA	22	NA	162
415	NA	NA	414	15	8	2	182	NA	NA	NA	22	NA	162
416	NA	NA	415	15	9	2	183	NA	NA	NA	22	NA	162
417	NA	NA	416	15	10	2	184	NA	NA	NA	22	NA	162
418	NA	NA	417	15	11	2	185	NA	NA	NA	22	NA	162
419	NA	NA	418	15	12	2	186	NA	NA	NA	22	NA	162
420	NA	NA	419	15	12	3	187	NA	NA	NA	22	NA	162
421	NA	NA	420	15	13	2	188	NA	NA	NA	22	NA	162
